activation,batch_size,best_epoch,best_val_mse,epochs,hidden_dims,id_max,id_max_id_false_alarm,id_max_ood_detected,id_max_threshold,id_mean,id_mean_plus_3std_id_false_alarm,id_mean_plus_3std_ood_detected,id_mean_plus_3std_threshold,id_p95,id_p95_id_false_alarm,id_p95_ood_detected,id_p95_threshold,id_p99,id_p995,id_p995_id_false_alarm,id_p995_ood_detected,id_p995_threshold,id_p99_id_false_alarm,id_p99_ood_detected,id_p99_threshold,input_dim,latent_dim,lr,ood_max,ood_mean,ood_p95,ood_p99,ood_p995,run_idx,weight_decay
relu,2048,1900,0.07251473516225815,2000,"[128, 64]",13.882286071777344,0.0,0.02837675350701403,13.882286071777344,0.07251473516225815,0.012995991983967935,0.4951803607214429,0.7203793898224831,0.24714108929038045,0.05,0.7672144288577154,0.24714108929038045,0.8338828599453026,1.259294179677964,0.005,0.3768486973947896,1.259294179677964,0.01,0.4647244488977956,0.8338828599453026,66,2,0.0005,1370.486328125,2.6627213954925537,10.635612392425537,20.604502429962174,24.919083814620993,1,1e-06
relu,2048,1257,0.08347444236278534,2000,"[128, 64]",181.81141662597656,0.0,0.00012024048096192385,181.81141662597656,0.08347444236278534,0.0030711422845691384,0.39478456913827653,1.7791188806295395,0.28290361613035175,0.05,0.7497044088176352,0.28290361613035175,0.906902332901961,1.3689859026670457,0.005,0.4514879759519038,1.3689859026670457,0.01,0.5284569138276554,0.906902332901961,66,2,0.0003,671.2735595703125,2.9087162017822266,11.058960008621213,21.753550186157227,24.529451179504495,2,1e-06
elu,2048,1797,0.08119574934244156,2000,"[128, 64]",19.693748474121094,0.0,0.0143937875751503,19.693748474121094,0.08119574934244156,0.012219438877755512,0.47375751503006014,0.8574231043457985,0.29538274258375086,0.05,0.7232114228456914,0.29538274258375086,0.99128160774708,1.4661874037981064,0.005,0.3447244488977956,1.4661874037981064,0.01,0.43892785571142284,0.99128160774708,66,2,0.0005,842.2869873046875,2.4596362113952637,9.890615606307978,22.313156547546406,29.003286476135276,3,1e-06
elu,2048,1718,0.08663017302751541,2000,"[128, 64]",143.63970947265625,0.0,0.00011523046092184368,143.63970947265625,0.08663017302751541,0.004443887775551102,0.3785871743486974,1.5879197791218758,0.31035524457693,0.05,0.7698997995991984,0.31035524457693,1.0148012185096822,1.475976786017422,0.005,0.39432865731462924,1.475976786017422,0.01,0.48221943887775554,1.0148012185096822,66,2,0.0003,216.63832092285156,2.8061115741729736,11.209657764434791,22.23178112030036,28.279240198135383,4,1e-06
relu,2048,1965,0.02027324214577675,2000,"[128, 64]",12.527650833129883,0.0,0.009298597194388778,12.527650833129883,0.02027324214577675,0.007064128256513026,0.4491933867735471,0.2902565114200115,0.054425836727023086,0.05,0.826122244488978,0.054425836727023086,0.23514848157763588,0.3603344416618365,0.005,0.3877454909819639,0.3603344416618365,0.01,0.5043386773547094,0.23514848157763588,66,3,0.0005,806.3179931640625,1.0746468305587769,4.699792432785034,11.945539131164628,16.144712829589853,5,1e-06
relu,2048,1928,0.022126201540231705,2000,"[128, 64]",8.706286430358887,0.0,0.013201402805611223,8.706286430358887,0.022126201540231705,0.009599198396793587,0.48422845691382765,0.27709169313311577,0.06331288293004032,0.05,0.8166032064128257,0.06331288293004032,0.27007407486438867,0.4074858146905903,0.005,0.3766933867735471,0.4074858146905903,0.01,0.49329659318637276,0.27007407486438867,66,3,0.0003,1271.1680908203125,1.012607455253601,4.69692952632904,9.704544181823763,13.331586937904387,6,1e-06
elu,2048,1927,0.02216658927500248,2000,"[128, 64]",16.310359954833984,0.0,0.008547094188376753,16.310359954833984,0.02216658927500248,0.006648296593186373,0.5323446893787576,0.34968395717442036,0.05767898932099325,0.05,0.8630410821643286,0.05767898932099325,0.25901775836944607,0.42946931526064974,0.005,0.48173346693386776,0.42946931526064974,0.01,0.6074298597194389,0.25901775836944607,66,3,0.0005,500.3009033203125,1.5686770677566528,6.724892210960382,15.20776185035709,21.380271816253778,7,1e-06
elu,2048,1953,0.024446547031402588,2000,"[128, 64]",20.046913146972656,0.0,0.0017084168336673347,20.046913146972656,0.024446547031402588,0.00623246492985972,0.3927404809619238,0.4193529188632965,0.06413632258772849,0.05,0.7710120240480962,0.06413632258772849,0.2844303795695322,0.48613947108388056,0.005,0.3551553106212425,0.48613947108388056,0.01,0.48463927855711425,0.2844303795695322,66,3,0.0003,600.4660034179688,0.8881382942199707,3.6865256905555683,9.0206770038605,11.672155594825748,8,1e-06
