epoch,train_mse,train_regularizer,train_total_loss,val_mse
1,0.20837040311855937,0.7019918331378163,0.20907239481827805,0.07167099416255951
2,0.06619048366585124,0.6733788381556329,0.06686386232202879,0.05049210041761398
3,0.04700945412826947,0.7143665243325873,0.04772382057498009,0.032439496368169785
4,0.03166390555059513,0.8033908949037855,0.03246729644513515,0.020982060581445694
5,0.018866912671493593,0.8930591692833078,0.019759971892662292,0.012530487962067127
6,0.011845429042352347,0.9235682216354624,0.012768997306442105,0.008345027454197407
7,0.008586923928831739,0.9190100633263227,0.009505934027073422,0.006568810436874628
8,0.006920903156183502,0.9040431788898742,0.007824946383647733,0.005475066602230072
9,0.005686764919993164,0.8914130613257738,0.006578178021729775,0.004754522815346718
10,0.004891985212047664,0.8656049397605219,0.005757590187617646,0.0038232337683439255
11,0.0040148398525125745,0.8329042266432861,0.004847744111787419,0.003640362061560154
12,0.0036723382106853423,0.8047326527272175,0.004477070901031661,0.0033112710807472467
13,0.0033088444228350786,0.7801065020792178,0.0040889509489118875,0.002836239291355014
14,0.0030185811717803736,0.7574060626722849,0.0037759872735614254,0.0029357208404690027
15,0.002722429847461289,0.7397245011512494,0.003462154391453828,0.002456061542034149
16,0.0025808950933457683,0.7161177030509464,0.0032970128307282533,0.002281168242916465
17,0.0023633516877400946,0.6962615888135585,0.0030596133100036175,0.0020309884566813707
18,0.002183502591715977,0.6780818242458956,0.0028615844482602973,0.0019386730855330825
19,0.0020853194558821944,0.6609846469203591,0.0027463041361549157,0.001903636148199439
20,0.001976030491042495,0.64572230275055,0.00262175282537862,0.0017747051315382123
21,0.0017824879484279335,0.6270915166111936,0.0024095794956578557,0.0018904772587120533
22,0.0018270923432712673,0.612841149452837,0.0024399335227124805,0.0015428955666720867
23,0.001721292406183364,0.597146893232309,0.002318439324772668,0.0014539171243086457
24,0.001607975009075102,0.5824705538205975,0.0021904455961849387,0.0014485358260571957
25,0.0015706785068021172,0.5683412227794212,0.002139019753712518,0.0014081730041652918
26,0.0013747061977903503,0.5555567150534583,0.0019302629336741058,0.0013635441428050399
27,0.0014304781660257147,0.5428957583319648,0.0019733739516572834,0.0013448711251839995
28,0.0013359257429556247,0.5308638431157402,0.0018667896097050425,0.0012067505158483982
29,0.0012779824028109265,0.5197251823268433,0.0017977076098604802,0.0011801308719441295
30,0.0013985704320382353,0.5090699806064217,0.0019076404392570784,0.0011637978022918105
31,0.0011637409167931866,0.4987098552430073,0.001662450794866412,0.0012574288994073868
32,0.0011763444071067977,0.48886248882699807,0.0016652069202145914,0.0011071283370256424
33,0.0012388572820728244,0.47923799153485763,0.0017180952951988708,0.0013611983740702271
34,0.0011569839539048643,0.471546600241714,0.001628530570373548,0.001126726157963276
35,0.0010834818155407025,0.4623156407577118,0.0015457974769979505,0.001012225984595716
36,0.0009889540899400229,0.45359163312835,0.0014425457460800135,0.0009753646445460618
37,0.0010024146671020675,0.4456331777664054,0.001448047868237388,0.0009588176617398858
38,0.0013583208786325546,0.4381878972390345,0.00179650880041317,0.0012143106432631612
39,0.0009558355620137475,0.4327262553576865,0.0013885618416154542,0.0008919829269871116
40,0.0008340534376709766,0.4247932790006566,0.0012588467376699482,0.0010186933213844895
41,0.0009832346854147837,0.41719448721493047,0.00140042919520003,0.0008682234911248088
42,0.0008251647606593538,0.41033534570635266,0.0012355001289190727,0.0007999891531653702
43,0.0008639305936450779,0.403833182738359,0.0012677637933660392,0.0008218552102334797
44,0.0008864720606951815,0.39799273921550826,0.0012844648167667637,0.0008669094531796873
45,0.0008270657293777631,0.3918044620758349,0.0012188702126867189,0.0008158386335708201
46,0.0007747642396475583,0.38549012775281605,0.0011602543839577708,0.0008798094349913299
47,0.0009082147329392553,0.3804945082592315,0.0012887092599181006,0.0007982223760336637
48,0.0008689630082714456,0.37499498080172766,0.0012439580068911316,0.0007442674250341952
49,0.000749593233123213,0.36945213880644795,0.0011190453888298652,0.0007654863875359297
50,0.0007534410584467537,0.3641552141617333,0.0011175962922714958,0.0007175103528425097
51,0.0008549357420162464,0.35933863309894876,0.001214274393344781,0.0010867731180042028
52,0.0007221045988498163,0.355308773059537,0.0010774133881454391,0.0009324178099632263
53,0.0008129949498866186,0.3511557721362706,0.0011641507437950757,0.0007481180364266038
54,0.0006619926970541349,0.3459887088107774,0.0010079814216763902,0.0006585557130165398
55,0.0007321160241038615,0.3415875675630136,0.0010737036038161933,0.00082511076470837
56,0.0006957528816092493,0.33705573433222613,0.001032808630034613,0.0007214302895590663
57,0.0006832289578675975,0.3332674079095319,0.0010164963818046215,0.0005910198087804019
58,0.000672202606177978,0.3288953506005881,0.0010010979733139458,0.0009711452294141054
59,0.0007326229015357255,0.3254236005995757,0.0010580465168730702,0.000609474431257695
60,0.0006287170632401205,0.32145127928172784,0.000950168357487283,0.0009903626050800085
61,0.0007863688966232106,0.31850008475912805,0.001104868998400506,0.0006731081521138549
62,0.000580568182152695,0.3147617749133336,0.0008953299705365788,0.0006359723629429936
63,0.0005865857606254684,0.3110054634870843,0.0008975912359882406,0.0006254999316297472
64,0.0005988198642493963,0.3073443201035712,0.0009061641988084171,0.0007083016680553555
65,0.0006005891486859056,0.30401921639962104,0.0009046083788709822,0.0005860991077497602
66,0.0005674524520412012,0.3004426186132864,0.000867895083875028,0.0006961462204344571
67,0.0009340550752881046,0.2987429220099021,0.001232798007587544,0.0007387006189674139
68,0.0005508053014755031,0.29595143404569924,0.0008467567492033027,0.0005791916628368199
69,0.0005047323617287258,0.29276399435333,0.0007974963683557934,0.0005461703985929489
70,0.0005280423175306722,0.2895647365397329,0.0008176070709927073,0.0006445166072808206
71,0.0005564481097651321,0.28677889090349407,0.0008432270141457528,0.0006393759977072477
72,0.0004982042766982496,0.28381385783013613,0.0007820181465077126,0.0007602290716022253
73,0.0006061849251209066,0.2812255424476416,0.0008874104799238512,0.0008552412618882954
74,0.0005279830063088947,0.27848740072134887,0.0008064704190593826,0.0005530890193767846
75,0.0005271834448357249,0.2760308196648098,0.0008032142769753948,0.0005751500721089542
76,0.0006297369512473726,0.27338966160826195,0.0009031266282443201,0.0007524736574850976
77,0.0005549415534570828,0.27108157598214483,0.0008260231402511854,0.0005490968469530344
78,0.0004609849826135794,0.26842849373528743,0.0007294134864015984,0.0005135018145665526
79,0.000460651722803616,0.2660690707972745,0.000726720805654883,0.0005512558273039758
80,0.0004788287993584873,0.2637221235610642,0.0007425509360369847,0.00047992641339078546
81,0.0004564360199337797,0.2612447311863769,0.0007176807658468663,0.0005438307416625321
82,0.0004892902186109405,0.25890613464341994,0.0007481963630017612,0.0005185251357033849
83,0.00044685377458986326,0.2568357593446639,0.0007036895462016713,0.0004759160801768303
84,0.0004168094334988568,0.25441709970417464,0.0006712265453262839,0.0005005159764550626
85,0.0006579080209104057,0.2527879300723764,0.0009106959616492844,0.000591050018556416
86,0.0004977427422979191,0.25107165663008973,0.0007488144092735441,0.000501885951962322
87,0.00039757328324525513,0.24867675400610287,0.0006462500502818709,0.0004632420605048537
88,0.0004050352687134072,0.24662786255715233,0.0006516631425515299,0.0005065157311037183
89,0.0004241508393737325,0.24473000395622793,0.0006688808525558166,0.0005396433407440782
90,0.0004439988989165893,0.24247438355314985,0.0006864732940888971,0.0006225235410965979
91,0.0005257440205230203,0.24081445984727318,0.0007665584934320899,0.0004346125351730734
92,0.00039159239029068233,0.23888927347219796,0.000630481674866873,0.0004332975950092077
93,0.0004300541738078739,0.23722522014577982,0.0006672794059347493,0.0004938432248309255
94,0.0004454452898827927,0.2353166918541661,0.0006807619907097246,0.0006612329743802547
95,0.00042623358266005213,0.23375792696966774,0.0006599915212896154,0.000468527345219627
96,0.0004370958474690262,0.23212428769574517,0.0006692201452250813,0.00043137840111739933
97,0.00046708772730037166,0.23045695190701548,0.0006975446901867762,0.0005550762289203703
98,0.0003954398635714705,0.22859181400480955,0.0006240316898003784,0.00039767634007148445
99,0.0004185010930499782,0.2273805039324746,0.0006458816076060297,0.00043254983029328287
100,0.00038869451833738525,0.22552143921669268,0.0006142159668676081,0.0004201542178634554
101,0.0004529638118524101,0.22413543493596144,0.0006770992593183797,0.0005206696223467588
102,0.0005084713585862719,0.22279787420408517,0.0007312692451388524,0.000382054946385324
103,0.0003725336110846663,0.2212509280971273,0.0005937845504957351,0.0004353564290795475
104,0.00037424090454250564,0.21989549103213848,0.0005941364060369378,0.00043080426985397935
105,0.00043503793048687417,0.2184417216413317,0.0006534796621355366,0.0004173690977040678
106,0.0003744096106950167,0.21703051786923144,0.0005914401396522608,0.000617699814029038
107,0.00038502813730455606,0.21554685305719057,0.0006005750024149911,0.0004097564087715
108,0.0004436414300639833,0.21407661709066117,0.0006577180577037944,0.0004003208305221051
109,0.00037293749299641853,0.21278954285581705,0.0005857270484574996,0.00044709083158522844
110,0.00036398188184874413,0.21156084616225135,0.0005755427377284378,0.0004366964567452669
111,0.00034143492291840294,0.21041767540264322,0.0005518526075526275,0.00039630557876080275
112,0.0004184104700473642,0.20897677260053868,0.0006273872518693928,0.00048232724657282233
113,0.00039257855141816393,0.20790224233056173,0.0006004808037504215,0.00037013590917922556
114,0.0003741248252244307,0.20644759011136293,0.0005805724255132605,0.0003809707413893193
