epoch,train_mse,val_mse
1,0.2727824323060053,0.14876393973827362
2,0.16364676227591232,0.13394607603549957
3,0.117170726687919,0.07447043061256409
4,0.07010649903288522,0.05154748633503914
5,0.056376628613405824,0.04581989347934723
6,0.050656950756561625,0.04177560284733772
7,0.04595601209092934,0.03768208250403404
8,0.040975338651451886,0.033806730061769485
9,0.03613803698445786,0.030204612761735916
10,0.032159139287204125,0.027333801612257957
11,0.029474188917460283,0.025146041065454483
12,0.027149845690557624,0.023359594866633415
13,0.02497118021579371,0.021732766181230545
14,0.023041073779164842,0.02123272605240345
15,0.02148756376955391,0.01903260499238968
16,0.02046228252536233,0.018173936754465103
17,0.019448397290153293,0.017339011654257774
18,0.018756183659400336,0.016934137791395187
19,0.017860977070077156,0.01634906232357025
20,0.017365315367442326,0.01602381281554699
21,0.0168331968870341,0.015338960103690624
22,0.016277471407360796,0.014930810779333115
23,0.015702618360827657,0.014644268900156021
24,0.01527296544311476,0.014418065547943115
25,0.01500528575905517,0.01419596653431654
26,0.014842964596046448,0.014335946179926395
27,0.014302183027554954,0.01472397055476904
28,0.014206395644277304,0.013202224858105183
29,0.013878923210964794,0.013150148093700409
30,0.013480712295149938,0.013966730795800686
31,0.013373100332314323,0.012868818826973438
32,0.013147563602358072,0.012684735469520092
33,0.012959034724723017,0.012665037997066975
34,0.012515474669093982,0.012533762492239475
35,0.01235216463927845,0.012327082455158234
36,0.01228377782383522,0.012225812301039696
37,0.012702043489005142,0.01243958342820406
38,0.011953159487948168,0.012033279053866863
39,0.011643827526964525,0.011839382350444794
40,0.011523757512428385,0.012167972512543201
41,0.01151807290559971,0.011474857106804848
42,0.011459208432483504,0.011275602504611015
43,0.011099526184470996,0.011377029120922089
44,0.011114539700630754,0.01130593940615654
45,0.010856303137927256,0.011234477162361145
46,0.01074412941685328,0.011223049834370613
47,0.010553119558280881,0.011269730515778065
48,0.010341246869727053,0.010954618453979492
49,0.010455131124708835,0.010853483341634274
50,0.010265437444609962,0.011514689773321152
51,0.010402558142997844,0.011038613505661488
