epoch,train_mse,val_mse
1,0.1906118778119655,0.06795583665370941
2,0.05978573470879214,0.035931263118982315
3,0.0314805107935812,0.019959384575486183
4,0.01764895842919421,0.01084172073751688
5,0.008193595309791604,0.005462678615003824
6,0.005147171311914981,0.0039053100626915693
7,0.00413824636810182,0.0033630183897912502
8,0.0032528984481703742,0.0028133983723819256
9,0.0028089342013595383,0.0031998311169445515
10,0.002437643524846692,0.0021235637832432985
11,0.0021047857603552545,0.0018307222053408623
12,0.002093892743461413,0.00162105867639184
13,0.0016848336297644662,0.0016797007992863655
14,0.0014631196229618068,0.0013431552797555923
15,0.0013598444998080116,0.0011820511426776648
16,0.0011721915895280012,0.0011475752107799053
17,0.0014070962972799928,0.0008877466316334903
18,0.0010237406392917263,0.000873751996550709
19,0.001109205500324239,0.0008829904836602509
20,0.0009943416203437026,0.000756898894906044
21,0.0008638991235161443,0.0007667653844691813
22,0.0008452493341021262,0.0007551190792582929
23,0.0009112983110485792,0.0006823602598160505
24,0.00073535796346032,0.0006362982676364481
25,0.0008285635236597138,0.0006678261561319232
26,0.0007302069290090957,0.0006127652013674378
27,0.0006529812815502346,0.0006216760375536978
28,0.00063294292341633,0.0005895438953302801
29,0.0007967598429842505,0.0007652255590073764
30,0.0006085243664665936,0.0005985539173707366
31,0.0005884760164272314,0.000526648887898773
32,0.000655385882265238,0.0005026108701713383
33,0.000537177689498484,0.0004689326451625675
34,0.000536956324256387,0.0004627123416867107
35,0.0005753364942330721,0.0005702212802134454
36,0.0005910705236349664,0.0004998083459213376
37,0.0005436251169877874,0.0005631347885355353
38,0.0005069144978023517,0.0005136918043717742
39,0.0005395428722768488,0.000540117674972862
40,0.000494489930328837,0.0004836194566451013
41,0.00045036203873519506,0.00042236270383000374
42,0.0004973194848588178,0.00037816926487721503
43,0.00040182151389002847,0.000340577244060114
44,0.0005094063963649905,0.000489536439999938
45,0.0004927870967335187,0.0004238911496941
46,0.0004614943179497392,0.00037004926707595587
47,0.0003749401959323716,0.0003732603508979082
48,0.0005212001801953829,0.00033860854455269873
49,0.0004946582088475778,0.0003296810027677566
50,0.00034947760660515196,0.00029747377266176045
51,0.00044320664445678847,0.0005059334798716009
52,0.000400456703942754,0.0003752329503186047
53,0.0003328079175154465,0.00031986617250368
54,0.0004346045439559628,0.0003426457988098264
55,0.00035196117390187757,0.0003582932986319065
56,0.00034080596170298885,0.0002615722769405693
57,0.0003351199113012984,0.00038467333070002496
58,0.000450356623465637,0.00034327071625739336
59,0.00027690719410459444,0.0002703945501707494
60,0.00027890458976188306,0.00028367433696985245
61,0.0003245947856389552,0.0002572952362243086
62,0.0003608042432411595,0.0002568462514318526
63,0.00028362253050984274,0.0002633447293192148
64,0.00032281933102804196,0.0002222553302999586
65,0.0002957821152931621,0.00025622014072723687
66,0.00031858331665249144,0.0002629173395689577
67,0.00036116670928254075,0.0005739564658142626
68,0.0003637633501292666,0.0001981504901777953
69,0.00022162861633114516,0.00021476145775523037
70,0.0004129314374626923,0.0003883174795191735
71,0.00025215727577313,0.00023649408831261098
72,0.00027653409086128344,0.00020845280960202217
73,0.00020565941402189128,0.0002210521197412163
74,0.00028628171669771777,0.0002610228257253766
75,0.0003083642008552266,0.00023864678223617375
76,0.0002774299623613367,0.00026392441941425204
77,0.0002844173745066585,0.00027924019377678633
78,0.0002606020790727303,0.0002130251086782664
79,0.0003893280044027936,0.000390668777981773
80,0.00024674279658148756,0.00025536102475598454
81,0.00028144799015793935,0.00018352674669586122
82,0.00031452795473988404,0.0004255513777025044
83,0.00019058751564084785,0.0001645698503125459
84,0.00023502943366643804,0.00025104687665589154
85,0.00020713915090876848,0.00016224377031903714
86,0.0002654570514859216,0.00023440383665729314
87,0.00025609903642449594,0.00022010714747011662
88,0.0002251218109634563,0.000305421301163733
89,0.00021868344286445426,0.0001564875856274739
90,0.0003392571374796534,0.0004052027652505785
91,0.0002796131653732815,0.0002445701975375414
92,0.00019279677721431647,0.00013337675773072988
93,0.000172976830891638,0.00015365544822998345
94,0.0001821776522161612,0.0003470060764811933
95,0.00028350131546041915,0.00021154762362129986
96,0.0003479231868071273,0.00016393422265537083
97,0.000150176214816154,0.0001913119194796309
98,0.0002027422047017413,0.0002514310763217509
99,0.0002078786490956842,0.00020631572988349944
100,0.00023059103713139674,0.00021606264635920525
