epoch,train_mse,val_mse
1,0.40381595661776337,0.20490875840187073
2,0.1484897964744864,0.09994089603424072
3,0.09006412960042456,0.07928772270679474
4,0.07445848165527136,0.06950532644987106
5,0.066265895278934,0.06266190856695175
6,0.06116697061539652,0.05915040522813797
7,0.05701944555817004,0.05567321181297302
8,0.05424122509646989,0.0512462817132473
9,0.051535909313357664,0.05223406106233597
10,0.05021203436085839,0.049923356622457504
11,0.04793750651804861,0.0460057370364666
12,0.046957392088994236,0.047242335975170135
13,0.04596938313212328,0.04490151256322861
14,0.04512097937400212,0.04512612521648407
15,0.0442491758456211,0.0436062254011631
16,0.0431725393430384,0.043713539838790894
17,0.04317892460611636,0.04799004644155502
18,0.042303945162432466,0.04031302034854889
19,0.04142766009489138,0.041459619998931885
20,0.04068283690485305,0.04082842916250229
21,0.04047672876010916,0.04027051106095314
22,0.03973039068033796,0.039073336869478226
23,0.0391953919838987,0.040326692163944244
24,0.038817311869654245,0.03940652310848236
25,0.03841611294302052,0.03756823390722275
26,0.03847971673211258,0.041366096585989
27,0.03766816495845695,0.03843080997467041
28,0.039451626887421806,0.03719383478164673
29,0.036678534401980094,0.03754216060042381
30,0.036462287414945914,0.0369226299226284
31,0.03623330469163721,0.03561800345778465
32,0.03623604018541281,0.03724288195371628
33,0.03606253524014133,0.037507202476263046
34,0.03564569121318494,0.03517119586467743
35,0.03509724700704724,0.03488800674676895
36,0.035394123451145953,0.036170605570077896
37,0.03491181572913407,0.03518209978938103
38,0.03428161273559253,0.03622577339410782
39,0.034591180701353745,0.03481471538543701
40,0.03408610229564454,0.034917477518320084
41,0.034140772960408176,0.03550082817673683
42,0.03344361878647833,0.03347490727901459
43,0.03361856046226436,0.03378373011946678
44,0.034103907067545194,0.03402092680335045
45,0.03336932316846503,0.03351650387048721
46,0.03261309553727597,0.032906364649534225
47,0.032577391849073,0.03417009487748146
48,0.03322969937593282,0.03380991891026497
49,0.03246116081184758,0.03387904167175293
50,0.03224028850766365,0.0326976552605629
51,0.03236786024251538,0.03280291706323624
52,0.031836932237676245,0.03308749198913574
53,0.03197852962653718,0.033108968287706375
54,0.031520857245924475,0.033013537526130676
55,0.031418338083133907,0.03252428397536278
56,0.03129170069271672,0.032780203968286514
57,0.03167503528186458,0.03269558399915695
58,0.030903440761482548,0.031176505610346794
59,0.03078400934438309,0.030868617817759514
60,0.031021719284370572,0.03190796822309494
61,0.030793524421408085,0.03256969526410103
62,0.03046721742691879,0.0324111171066761
63,0.030396253305052467,0.031277503818273544
64,0.03064964293418284,0.03099984861910343
65,0.029941874750690135,0.03231861814856529
66,0.03026155023043882,0.033139023929834366
67,0.030106377041172645,0.03140665218234062
68,0.030170630963179536,0.030993327498435974
69,0.030218772303663897,0.03194892406463623
70,0.029760644334142577,0.032258398830890656
